NOMREG;NOMDEP;NOM DU MUSEE;ADR;CP;VILLE;SITWEB
ALSACE;BAS-RHIN;Musée de la Folie Marco;30, Rue du Dr Sultzer;67140;BARR;www.barr.fr
ALSACE;BAS-RHIN;Musée de la Poterie;2, rue de Kuhlendorf;67660;BETSCHDORF;www.betschdorf.fr/tourisme/visiter_betschdrof/musee_poterie.php
ALSACE;BAS-RHIN;Musée de Bouxwiller et du Pays de Hanau;"2, Place du Château
Halle aux Blés";67330;BOUXWILLER;www.musee-pays-hanau.webmuseo.com
ALSACE;BAS-RHIN;Musée Alsacien;1, place Joseph Thierry;67500;HAGUENAU;www.ville-haguenau.fr/pages/culture/musee.htm
ALSACE;BAS-RHIN;Musée Historique;"9, Rue du Maréchal Foch
B.P. 40261";67504;HAGUENAU;www.ville-haguenau.fr/pages/culture/musee.htm ou www.museumspass.com/dn_musees-haguenau/
ALSACE;BAS-RHIN;Musée de la Chartreuse;4, Cour des Chartreux;67120;MOLSHEIM;www.chartreuse-molsheim.info
ALSACE;BAS-RHIN;Maison de l'Archéologie des Vosges du Nord;44, Avenue Foch;67110;NIEDERBRONN-LES-BAINS;www.musee-niederbronn.fr
ALSACE;BAS-RHIN;Musée de l'Image Populaire de Pfaffenhoffen;24, rue du Docteur Albert Schweitzer;67350;PFAFFENHOFFEN;www.pfaffenhoffen.org ou http://www.musee-image-populaire.webmuseo.com/
ALSACE;BAS-RHIN;Musée du Fer;9, rue Jeanne d'Arc;67110;REICHSHOFFEN;musee-reischshoffen.webmuseo.com ou www.lacastine.com
ALSACE;BAS-RHIN;Musée du Château des Rohan;"Château des Rohans
Place du Général de Gaulle";67700;SAVERNE;http://www.louise weiss.org
ALSACE;BAS-RHIN;Musée des Arts Décoratifs;"Palais Rohan
2, Place du Château";67000;STRASBOURG;www.musees-strasbourg.eu
ALSACE;BAS-RHIN;Musée Tomi Ungerer;"Villa Greiner
2, avenue de la Marseillaise";67000;STRASBOURG;www.musees-strasbourg.eu
ALSACE;BAS-RHIN;Musée des Beaux-Arts;"Palais Rohan
2, Place du Château";67000;STRASBOURG;www.musees.strasbourg.eu
ALSACE;BAS-RHIN;Musée Historique;2, Rue du Vieux Marché aux Poissons;67000;STRASBOURG;www.musees-strasbourg.eu
ALSACE;BAS-RHIN;Musée Alsacien;23-25, Quai Saint-Nicolas;67000;STRASBOURG;www.musees-strasbourg.eu
ALSACE;BAS-RHIN;Musée Archéologique;"Palais Rohan
2, Place du Château";67000;STRASBOURG;www.musees.strasbourg.eu
ALSACE;BAS-RHIN;Musée de l'Œuvre Notre-Dame;3, Place du Château;67000;STRASBOURG;www.musees-strasbourg.eu
ALSACE;BAS-RHIN;Cabinet des Estampes et des Dessins;5, Place du Château;67000;STRASBOURG;www.musees-strasbourg.eu
ALSACE;BAS-RHIN;Musée d'Art Moderne et Contemporain de Strasbourg;1 place Hans Jean Arp;67000;STRASBOURG;www.musees-strasbourg.eu
ALSACE;BAS-RHIN;Musée Zoologique de l'Université Louis Pasteur et de la Ville de Strasbourg;29, Boulevard de la Victoire;67000;STRASBOURG;www.musees.strasbourg.eu
ALSACE;BAS-RHIN;Musée J.F. Oberlin;25, Montée Oberlin;67130;WALDERSBACH;www.musee-oberlin.com
ALSACE;BAS-RHIN;Musée Lalique;40 rue du Hochberg;67290;WINGEN-SUR-MODER;www.musee-lalique.com
ALSACE;BAS-RHIN;Musée Westercamp;3, rue du Musée;67160;WISSEMBOURG;www.musee-wissembourg.webmuseo.com ou www.ville-wissembourg.eu
ALSACE;BAS-RHIN;Musée de la Bataille du 6 Août 1870;2, Rue du Moulin;67360;WOERTH;www.woerth-en-alsace.com
ALSACE;HAUT-RHIN;Musée Sundgauvien d'Altkirch;1, Rue de l'Hôtel de Ville;68130;ALTKIRCH;
ALSACE;HAUT-RHIN;Musée Gallo-Romain;Place de la Mairie;68600;BIESHEIM;www.ville-biesheim.fr/museegr.html
ALSACE;HAUT-RHIN;Musée de la Porte de Thann;1, Rue de Thann;68700;CERNAY;http://histoire-cernay.perso.sfr.fr ou www.musees-alsace.org
ALSACE;HAUT-RHIN;Musée d'Unterlinden;1, rue Unterlinden;68000;COLMAR;www.musee-unterlinden.com
ALSACE;HAUT-RHIN;Musée Bartholdi;30, Rue des Marchands;68000;COLMAR;www.musee-bartholdi.com ou www.colmar.fr ou www.culture.fr
ALSACE;HAUT-RHIN;Musée d'Histoire Naturelle et d'Ethnographie de Colmar;11, Rue Turenne;68000;COLMAR;www.museumcolmar.org
ALSACE;HAUT-RHIN;Musée Théodore Deck et des Pays du Florival;1, Rue du Quatre Février;68500;GUEBWILLER;www.ville-guebwiller.fr/musee-deck/
ALSACE;HAUT-RHIN;Musée Historique et Militaire de Huningue;6, rue des Boulangers;68330;HUNINGE;
